State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2017-2011 Change,2023-2017 Change,2017-2011 Change %,2023-2017 Change %
Tennessee,6282706,6333466,6378278,6419226,6471445,6522259,6580953,6642072,6270303,6311321,6358137,6435932,6508184,6564760,308606,-77312,5%,-1%
Texas,24899075,25327104,25711791,26087349,26588600,27092848,27472626,27924632,24915940,25391816,25819942,26191504,26602256,26961642,2597528,-962990,10%,-3%
Utah,2724064,2769627,2805440,2854667,2894001,2947423,3002244,3056193,2720758,2765363,2804872,2844511,2897830,2954798,286566,-101395,10%,-3%
Vermont,619363,621354,620224,621256,620898,619952,619387,619089,620743,621008,620723,620531,620211,619825,-2265,736,0%,0%
Virginia,7930773,7996552,8085389,8163664,8224054,8283737,8312297,8372522,8221395,8095674,8228982,8153029,8173198,8259287,375970,-113235,5%,-1%
Washington,6661321,6748474,6815763,6888552,6979369,7089143,7202119,7318811,6621759,6648270,6673117,6742872,6876567,7032049,570337,-286762,8%,-4%
West Virginia,1833535,1836614,1837518,1837863,1831414,1823753,1810709,1798306,1843468,1840617,1835785,1829910,1823063,1815346,-38308,17040,-2%,1%
Wisconsin,5623196,5647213,5660677,5681024,5692727,5708201,5712104,5731549,5667703,5672780,5676937,5678948,5686032,5694539,84336,-37010,1%,-1%
Wyoming,556954,561389,569734,575933,577782,579102,577567,573483,560155,564356,566946,569371,571121,574038,12094,555,2%,0%
Puerto Rico,3676493,3669195,3628402,3579220,3511186,3443445,3384760,3313519,3696745,3671855,3565849,3465570,3406940,3335461,-355676,21942,-10%,1%
